name,username,userId,can_dm,created_at,bio,tweets_count,followers_count,following_count,favourites_count,location,media_count,profile_banner_url,profile_url,avatar_url,verified,blue_verified
Yale Central Valley,YaleCentralVall,363526945,false,2011-08-28 02:58:07,Yale Club of the Central Valley: a network of @Yale alumni throughout Central California ... and the people who love them. Tweets by @tlc4college.,90,268,80,2,"Fresno, CA",14,,https://www.twitter.com/YaleCentralVall,https://pbs.twimg.com/profile_images/1517071760/Yale_logo_normal.jpg,false,false
Yale Club San Diego,yaleclubofsd,87374904,false,2009-11-04 00:54:18,"The home of Yale alumni in San Diego. Dedicated to community service, intellectual enrichment and fun.",1600,526,179,1014,"San Diego, CA",547,https://pbs.twimg.com/profile_banners/87374904/1705971566,https://www.twitter.com/yaleclubofsd,https://pbs.twimg.com/profile_images/1663648408572424192/q1QhzcTO_normal.jpg,false,false
Yale Club of Los Angeles,YaleClubLA,278202905,false,2011-04-06 16:28:16,Serving Yale University alumni in the greater LA area.,1004,649,351,362,"Los Angeles, CA",95,https://pbs.twimg.com/profile_banners/278202905/1423977593,https://www.twitter.com/YaleClubLA,https://pbs.twimg.com/profile_images/1462066958979895297/hS0376XV_normal.jpg,false,false
LewisWalpoleLibrary,LewisWalpoleLib,1154237520,false,2013-02-06 10:02:07,"The Lewis Walpole Library, a department of @YaleLibrary, in Farmington, CT, is a renowned research center for the study of Britain in the long 18th century.",1925,1833,614,1931,"Farmington, Connecticut",1349,https://pbs.twimg.com/profile_banners/1154237520/1692970970,https://www.twitter.com/LewisWalpoleLib,https://pbs.twimg.com/profile_images/1568341530879860743/xDPZplww_normal.jpg,false,false
Student Technology Collaborative,YaleSTC,40900719,false,2009-05-18 11:54:55,The official Twitter page of the Yale Student Technology Collaborative! Helping Yale students with their tech needs since 1985.,76,418,833,128,"New Haven, CT",11,https://pbs.twimg.com/profile_banners/40900719/1584126203,https://www.twitter.com/YaleSTC,https://pbs.twimg.com/profile_images/1586033283346956290/cyuGoUjo_normal.jpg,false,false
Yale Child Study Center,YaleCSC,113698114,false,2010-02-12 13:31:09,Official feed of the Yale Child Study Center at @YaleMed @YaleMedicine. Improving the lives of children & families. RTs & follows ≠ endorsement,4908,5659,521,4188,"New Haven, CT",502,https://pbs.twimg.com/profile_banners/113698114/1568836806,https://www.twitter.com/YaleCSC,https://pbs.twimg.com/profile_images/1544022257382596608/XLVkIX8Q_normal.jpg,false,false
Yale Med Alumni,YaleMedAlum,127722006,false,2010-03-29 22:02:13,"Association of Yale Alumni in Medicine - reunions, events, connecting and re-connecting with one another and Yale",592,678,62,362,"New Haven, CT",184,https://pbs.twimg.com/profile_banners/127722006/1642186127,https://www.twitter.com/YaleMedAlum,https://pbs.twimg.com/profile_images/2183278219/323739_211586052252276_100002026487896_457835_1260623463_o_normal.jpg,false,false
Dwight Hall at Yale,DwightHallYale,129568709,true,2010-04-04 14:51:04,"Dwight Hall is the Center for Public Service and Social Justice at Yale, a nonprofit umbrella organization that provides support to over 70 student-run groups.",1542,1305,566,647,"New Haven, CT",561,https://pbs.twimg.com/profile_banners/129568709/1604628969,https://www.twitter.com/DwightHallYale,https://pbs.twimg.com/profile_images/1336097297155887104/_kq9YDin_normal.jpg,false,false
Norfolk Chamber Music Festival,NorfolkYale,158056526,false,2010-06-21 13:18:01,"Part of the Yale School of Music, Norfolk is a symbol of excellence in chamber music performance and professional study.",447,499,180,2,"Norfolk, CT",163,https://pbs.twimg.com/profile_banners/158056526/1568133469,https://www.twitter.com/NorfolkYale,https://pbs.twimg.com/profile_images/1171462183139434496/AOWCLTaI_normal.jpg,false,false
Yale Anthropology,Yale_Anthro,179182411,false,2010-08-16 14:16:55,Yale University Department of Anthropology,569,6002,44,16,"New Haven, CT",55,https://pbs.twimg.com/profile_banners/179182411/1476122977,https://www.twitter.com/Yale_Anthro,https://pbs.twimg.com/profile_images/522055883287576576/Y1V3_781_normal.png,false,false
